video_id,video_title,stream_date,video_url,published_at,duration_seconds,view_count,like_count,comment_sample_count,is_singing_stream,is_member_only,is_upcoming,status,entry_count,song_count,category_count,selected_comment_id,selected_comment_author,selected_comment_is_pinned,selected_comment_timestamp_count,issue,scraped_at
Z3Eix14c2nU,【歌回】聖誕歌回🌸唱唱冬天的歌 陪伴大家🎄【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2025-12-24,https://www.youtube.com/watch?v=Z3Eix14c2nU,2025-12-24T09:31:49-08:00,11541,656,136,1,true,false,false,ok,15,8,7,UgzMnnH_w5fOkfZJQSp4AaABAg,@MOMO-no3rc,true,15,,2026-05-27T04:50:28.595Z
SY3upbrj0aA,【歌回】週末深夜歌回🌸睡不著的旅人啊，讓我輕輕唱歌給你聽~【伴睡歌回 122｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2025-12-21,https://www.youtube.com/watch?v=SY3upbrj0aA,2025-12-21T09:43:52-08:00,8948,649,138,1,true,false,false,ok,10,7,3,Ugx295MPGPVllMFhlx14AaABAg,@MOMO-no3rc,true,10,,2026-05-27T04:50:28.595Z
7IMc_Ns8jNc,【歌回】古風歌回🌸寒冷的天適合唱唱古風歌🎤【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2025-12-17,https://www.youtube.com/watch?v=7IMc_Ns8jNc,2025-12-17T10:01:34-08:00,13347,1051,162,3,true,false,false,ok,18,12,6,UgwG8lbLTGCMSoJi5_p4AaABAg,@MOMO-no3rc,true,18,,2026-05-27T04:50:28.595Z
40aNRcv2XcE,【歌回】週末深夜歌回🌸輕輕唱些舒眠的好聽歌曲~【伴睡歌回 121｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2025-12-14,https://www.youtube.com/watch?v=40aNRcv2XcE,2025-12-14T09:54:06-08:00,9555,561,110,4,true,false,false,ok,11,8,3,UgzvERNoYID6I7ePuRt4AaABAg,@MOMO-no3rc,true,11,,2026-05-27T04:50:28.595Z
PPakUJY78I0,【歌回】鄧紫棋歌回🌸永遠的神！希望歌曲可以觸動你的心🎤【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2025-12-10,https://www.youtube.com/watch?v=PPakUJY78I0,2025-12-10T09:37:44-08:00,11885,736,113,1,true,false,false,ok,13,8,5,UgwzXoUzqAmfWtuFQ1Z4AaABAg,@MOMO-no3rc,true,13,,2026-05-27T04:50:28.595Z
xYwOhRyQTgM,【歌回】週末深夜歌回🌸冷冷的天陪你暖暖入睡【伴睡歌回 120｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2025-12-07,https://www.youtube.com/watch?v=xYwOhRyQTgM,2025-12-07T09:50:05-08:00,9302,689,118,1,true,false,false,ok,11,7,4,UgzLSatOR9XZ94t52DJ4AaABAg,@MOMO-no3rc,true,11,,2026-05-27T04:50:28.595Z
BDTGnE970Kc,【歌回】魔鏡歌詞網歌回3🌸必聽的經典！來聽聽當年那些熱門歌曲🎵【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2025-12-03,https://www.youtube.com/watch?v=BDTGnE970Kc,2025-12-03T09:37:58-08:00,12109,660,123,1,true,false,false,ok,12,7,5,Ugw0rbr1Bam3KjwNgjp4AaABAg,@MOMO-no3rc,true,12,,2026-05-27T04:50:28.595Z
KhGa7AArz6U,【歌回】週末深夜歌回🌸夜晚一起唱唱聊聊！希望可以讓你心情放鬆點🎵 【伴睡歌回 119｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2025-11-30,https://www.youtube.com/watch?v=KhGa7AArz6U,2025-11-30T09:33:16-08:00,8403,482,93,2,true,false,false,ok,10,6,4,Ugxhvuw9esD0c_kmbAp4AaABAg,@MOMO-no3rc,true,10,,2026-05-27T04:50:28.595Z
OBNJQ5xMpKE,【歌回】魔鏡歌詞網歌回2🌸經典永流傳！那些陪我們度過夜深人靜的歌曲🎵【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2025-11-26,https://www.youtube.com/watch?v=OBNJQ5xMpKE,2025-11-26T09:26:07-08:00,11128,619,104,1,true,false,false,ok,10,7,3,UgxwsAEr8NxK5EAWeZp4AaABAg,@MOMO-no3rc,true,10,,2026-05-27T04:50:28.595Z
trtFUnqWsvA,【歌回】週末深夜歌回🌸進入秋冬就是要唱些感傷的歌吧🎤【伴睡歌回 118｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2025-11-23,https://www.youtube.com/watch?v=trtFUnqWsvA,2025-11-23T09:38:05-08:00,8822,581,115,1,true,false,false,ok,9,6,3,Ugylfzp0Uqn3RzifetF4AaABAg,@MOMO-no3rc,true,9,,2026-05-27T04:50:28.595Z
